,0,1,2,3,4,5,6,7,8,9
0,24.375,24.375,24.375,24.375,24.375,24.375,24.375,24.375,24.375,24.375
1,8.71542780868876,8.711916115572805,8.710478372960994,8.708710295962216,8.712455094395324,8.715586043294403,8.71155743923177,8.711402421227186,8.71177469428295,8.711572083203933
2,6.462796605244094,6.462750052437644,6.462273959726802,6.461630956836137,6.46240184365154,6.463019047983527,6.462287405799892,6.462154692059096,6.462609805074091,6.4623716206698
3,5.179607508120041,5.180199837494504,5.1801061543624956,5.179838226186047,5.179844879177661,5.179982215378967,5.179975859617175,5.179849334797079,5.180144994716086,5.180079785217827
4,4.3435933496374926,4.3442744191795875,4.344370448810165,4.3441621797357435,4.3440436517444425,4.34387567741815,4.344100761977232,4.344005139801098,4.3441981281950275,4.344208463919177
5,3.7545092026891935,3.7550720661169024,3.7551647775980572,3.7551677607898903,3.754991000743238,3.754733365391046,3.755027506962852,3.7549988267979004,3.7550942200867286,3.755100813173006
6,3.3170008330391942,3.3174705678956897,3.317638257458339,3.3176484391401395,3.317415925616855,3.3172071888573784,3.3174576252147037,3.3174620348560255,3.317489703830408,3.3175171236064545
7,2.979289539640279,2.979764291969304,2.979888353046797,2.979919940978688,2.9796670369984963,2.979494522352617,2.9797087629620664,2.9797163515640195,2.9797645585051367,2.979748871606871
8,2.7108512247834784,2.7113282345679295,2.711296730228507,2.71142130746628,2.711163368657233,2.7110388572709687,2.7112289980596844,2.7111808799539645,2.71120503253638,2.711209827935087
9,2.4923976264230747,2.4928248300737224,2.4927922135590994,2.492853638796535,2.492670008744522,2.4925421531429084,2.4927141361762146,2.492661371544182,2.4927217284876293,2.4926849091285472
10,2.311220697974899,2.31157521199006,2.3115307400222815,2.3116146865961733,2.311421422404072,2.311317817191505,2.311484189337737,2.311393919199998,2.3114558736503663,2.311408433081663
11,2.1585488951629106,2.158811732785168,2.1588314914124362,2.1589009543226796,2.1586644594137248,2.1585402155867137,2.1587418254758806,2.1586175660842994,2.158699739825972,2.158664952837254
12,2.0280604734588974,2.0283489424577916,2.028359225701901,2.028417998951471,2.0282159566844085,2.0281290337480242,2.0282747513443873,2.028136466995433,2.0282695003831086,2.0282326079332016
13,1.915426946972821,1.9156465334134563,1.9157072612704087,1.915722078672518,1.915519139112404,1.9154288671895672,1.9156090976703881,1.9154235221816205,1.9155446366847773,1.9155508847574412
14,1.817039471242186,1.8173058452206319,1.8173684051542636,1.8173942488710941,1.8171836097580778,1.817108145975886,1.8173012633160859,1.8171458897190669,1.817244453443169,1.817248074444002
15,1.7304668802661283,1.7308061391244345,1.7308465267607431,1.730940278190382,1.7306980908310476,1.73060750008816,1.730774586800753,1.7306733866925708,1.730745326139108,1.730735426826862
16,1.6538267936662563,1.6541112067525603,1.6541401168240277,1.654213676087337,1.654049761290085,1.6539629276050354,1.6540832710990807,1.6540033746483878,1.6540657590109467,1.6540656745940134
17,1.585405546202979,1.585694580864947,1.585721323273981,1.5857523898904209,1.585622150733638,1.5855164452454993,1.5856410247592874,1.5855760415073317,1.5856431091098995,1.5856395952060587
18,1.5239989553213216,1.5242912771393142,1.524249743254476,1.524332995474748,1.524179537900708,1.5240860806237813,1.5242051303368065,1.524128824584918,1.5242395548808763,1.5242091568792795
19,1.468598417648723,1.4688307333726667,1.4687929536995832,1.4688919260509876,1.4687103456688095,1.4686402533696754,1.4687313298881846,1.4686920167891415,1.4687935418508553,1.4687647322388857
20,1.4182892882401903,1.418532379723261,1.418524750272216,1.4186198025484102,1.4184396276239672,1.4183600150424986,1.4184210485650133,1.418417882072203,1.4184935813887263,1.4184793902376915
21,1.3724458205028807,1.372766051927323,1.3727166868574916,1.3728013601645799,1.3726513203229667,1.37256576215483,1.372627013365917,1.372606836117002,1.3726801298766274,1.372671277045087
22,1.33055155068628,1.3308766420104086,1.3308512389759035,1.330883238718636,1.330745791426981,1.3306733050285973,1.3307232337146457,1.330718472661017,1.3307828276377067,1.3307741178618997
23,1.292106915417706,1.2923893071675188,1.2924084486673157,1.2924088533089677,1.2922962904439135,1.2922354496221815,1.2922837695844118,1.2922746919400507,1.2923441100958226,1.2923148527011494
24,1.2567374254039048,1.25697710635357,1.2569995712616742,1.2570023476550545,1.2568909522236371,1.2568180306211987,1.2568620360740788,1.2568648942946936,1.25692735957838,1.2569082958503068
25,1.2240561087881379,1.2242594962236875,1.2242933885564362,1.22424633169407,1.2241674471123574,1.224095996062041,1.2241561579594669,1.2241603161043852,1.2242058277438175,1.2242006535413852
26,1.193727406886786,1.1939404557846403,1.1939846136497096,1.1939281531896107,1.1938543333871654,1.1938096721424434,1.1938591998675712,1.1938451419630745,1.1938832536468365,1.193899268891854
27,1.1656180469459225,1.1657872871563413,1.165864189986913,1.1657744532195522,1.165702335453469,1.1656651036326868,1.1657105709203377,1.1657113791748457,1.1657338757626834,1.1657490806242694
28,1.139396248485821,1.1396021286662696,1.1396642983586707,1.1395610316742335,1.1394845072761592,1.1394558657934464,1.1394979504663534,1.1394978426176798,1.139520070960557,1.1395400350881004
29,1.1149405982975522,1.1151424139677892,1.1151815070700175,1.115097897240363,1.1150137510159137,1.1150075172446006,1.115041606897254,1.1150381510508034,1.1150518357437915,1.1150846440669446
